id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
1310,p,6.62,x,t,n,f,s,,g,5.96,8.11,,y,n,,,f,f,,d,w
1311,p,1.52,x,,n,f,,,k,4.6,2.37,,s,n,,,f,f,k,g,a
1312,e,6.13,x,,n,f,d,c,w,5.46,8.95,,s,w,,,f,f,,l,a
1313,p,16.47,s,k,o,f,d,c,y,6.65,33.07,,k,o,,,f,f,,d,a
1314,p,3.11,f,s,g,f,d,c,w,3.36,8.05,,,w,,,f,f,,g,u
1315,e,2.92,x,d,n,f,p,,y,4.24,9.93,,,n,,,f,f,,d,u
1316,p,6.81,x,y,n,f,a,c,n,10.28,10.52,,y,y,,,t,,,d,a
1317,p,6.45,s,d,e,t,d,c,w,5.52,8.04,,,e,,,f,f,,d,a
1318,e,7.55,x,t,y,f,p,,y,6.71,16.61,,,y,,w,t,,,d,u
1319,p,3.3,b,y,e,f,e,c,n,4.76,3.56,,k,w,,,t,e,,d,u
1320,p,8.21,s,,o,t,d,,o,4.88,13.18,,,w,,,t,f,,d,a
1321,p,6.4,x,d,n,f,d,c,y,5.96,7.45,,i,y,,,t,,,d,a
1322,p,2.17,b,,g,f,a,,g,4.94,1.97,,s,g,,,f,f,,d,u
1323,p,13.05,x,,g,f,e,,w,11.31,17.33,,,w,u,w,t,g,,d,a
1324,e,4.94,x,s,n,f,p,,n,6.23,11.48,,,n,,,f,f,,d,u
1325,e,3.24,f,s,w,f,d,d,w,3.94,6.97,,,w,,,f,f,,m,w
1326,p,1.43,x,,n,f,,,k,4.67,2.43,,s,n,,,f,f,k,g,a
1327,p,0.86,x,g,n,f,a,d,n,2.18,2.52,,s,n,,,f,f,,d,a
1328,p,2.21,f,,w,f,a,c,n,3.76,3.42,,i,u,,,f,f,,p,a
1329,p,6.43,x,e,n,f,a,,n,8.18,10.29,,,e,,w,t,z,,d,a
1330,p,0.92,b,t,n,f,,c,g,3.01,2.41,,,n,,,t,f,,m,a
1331,e,10.13,x,y,n,t,e,,p,9.03,17.86,,y,w,,,t,p,,d,a
1332,p,1.1,x,g,w,f,a,d,w,2.78,1.45,,,e,,,f,f,,d,u
1333,p,4.91,c,i,y,f,,c,n,7.09,7.38,,,w,,,f,f,,d,a
1334,p,6.84,x,w,e,f,x,,w,11.46,5.73,r,g,n,,,f,f,,d,a
1335,e,3.84,x,h,n,f,,c,k,5.47,5.69,,s,w,,,f,f,k,d,u
1336,p,6.49,o,e,y,f,,c,y,1.44,14.91,,,n,,,f,f,,d,u
1337,e,7.05,x,,e,f,x,c,w,6.04,17.1,,s,w,,,f,f,,d,u
1338,e,3.08,s,,y,f,f,f,f,6.75,6.57,,,o,,,f,f,,d,a
1339,e,2.59,f,y,n,f,d,d,p,6.15,3.52,,i,n,,,f,f,,h,u
1340,e,4.32,f,t,n,f,d,,o,6.12,7.85,,t,w,,,f,f,,d,a
1341,e,9.53,x,,n,t,,,w,12.24,20.04,b,,w,u,w,t,g,,d,a
1342,e,4.11,x,h,y,f,a,c,y,6.0,9.08,,,o,,,f,f,,g,a
1343,p,3.02,x,t,w,f,s,c,n,5.55,7.66,,,w,,n,t,z,,d,u
1344,p,6.85,f,y,e,f,s,,y,6.25,14.37,,y,u,,,f,f,,d,u
1345,p,0.8,x,s,n,f,a,,p,4.48,1.05,,s,k,,,f,f,,d,a
1346,p,3.14,x,d,w,f,d,d,w,4.21,2.72,,h,w,,,f,f,,g,a
1347,e,3.14,b,y,n,f,,c,k,6.83,2.99,,,w,,,f,f,,d,u
1348,p,3.96,f,t,n,f,x,c,p,4.84,3.7,,i,g,,,f,f,,d,u
1349,e,8.17,x,s,n,f,e,c,p,6.36,9.76,,i,w,,,f,f,p,d,u
1350,p,10.83,x,e,n,t,p,,e,9.35,28.68,,,u,,,f,f,,d,u
1351,e,2.07,x,,u,f,,d,u,5.68,3.47,,,w,,,f,f,,d,a
1352,p,5.99,b,s,n,f,,,w,9.79,11.02,,s,w,,,t,z,,g,w
1353,p,9.89,x,t,n,f,a,d,w,10.19,28.53,,,w,,,f,f,,d,a
1354,e,6.55,x,h,g,f,a,d,n,6.28,5.45,,t,w,,,t,l,,d,w
1355,e,7.25,p,,g,f,a,,w,7.21,13.61,,,g,,,f,f,,g,u
1356,p,11.78,x,t,n,f,a,d,w,11.28,33.86,,,w,,,f,f,,d,u
1357,p,9.45,x,,n,f,p,,p,10.44,32.3,c,,n,,,f,f,w,d,u
1358,p,7.63,p,g,n,f,e,,w,7.42,14.09,,y,w,u,w,t,p,,d,u
1359,p,3.91,x,t,n,f,s,c,p,5.98,9.73,,,w,,n,t,z,,d,u
1360,p,13.69,x,,g,f,e,,w,11.15,15.9,,,w,u,w,t,g,,d,a
1361,e,6.05,x,y,n,f,e,c,p,4.61,9.42,,y,n,,,f,f,,d,a
1362,e,5.96,c,,n,f,f,f,f,5.87,20.38,,,n,,,f,f,,d,s
1363,e,3.89,f,t,n,f,s,,w,5.9,7.14,,t,w,,,f,f,,d,w
1364,e,8.39,x,,n,f,a,,w,7.95,14.12,,,w,,,f,f,,g,u
1365,e,10.13,x,t,n,t,p,,n,7.68,15.9,,,n,,,f,f,,d,u
1366,e,10.8,f,e,g,f,a,c,w,7.68,23.01,s,,w,,,f,f,,l,w
1367,p,11.05,s,t,n,t,d,c,n,6.48,16.3,,,n,,,f,f,,h,u
1368,e,8.18,s,,n,f,,,w,3.22,23.1,,,n,,,f,f,,d,u
1369,p,7.96,x,y,w,t,,,g,7.62,14.3,s,,w,,,t,l,,g,u
1370,p,4.39,f,l,e,f,x,d,e,5.88,4.87,,,e,,,f,f,,d,a
1371,p,1.84,f,t,y,f,,,y,7.03,3.32,,,y,,,f,f,,g,u
1372,e,15.0,s,,l,f,a,c,b,6.96,21.64,,,u,,,f,f,,l,w
1373,p,2.01,b,,n,f,a,,g,4.95,1.94,,s,n,,,f,f,,d,a
1374,e,4.57,x,,w,f,x,c,w,8.38,9.42,b,,w,,w,t,,,g,a
1375,p,0.96,x,g,w,f,a,d,w,2.92,1.5,,,w,,,f,f,,d,w
1376,p,2.1,f,t,n,f,,,n,7.42,3.14,,,y,,,f,f,,g,u
1377,e,11.84,f,,b,f,d,c,y,2.54,15.8,,,w,,,f,f,,d,a
1378,e,3.16,f,s,w,f,d,d,w,2.95,4.6,,,w,,,f,f,,g,a
1379,p,2.45,b,y,n,f,,c,w,4.75,4.02,s,s,w,,,f,f,,d,a
1380,e,4.09,f,g,n,f,a,d,g,5.32,3.53,,s,g,,,f,f,,d,a
1381,p,13.36,x,s,w,f,s,,p,8.23,18.17,,i,n,,,f,f,,d,a
1382,p,3.97,x,i,l,f,a,,w,4.1,2.61,,,w,,,f,f,p,g,u
1383,p,4.89,x,i,e,f,e,,y,6.35,7.38,,,o,,,f,f,,m,a
1384,p,8.11,x,e,n,f,a,,n,9.39,13.79,s,,n,,e,f,f,,d,a
1385,p,10.03,x,t,r,t,d,c,n,5.58,13.44,,,n,,,f,f,,d,u
1386,p,3.53,x,s,y,f,,c,y,10.87,7.77,,,y,u,w,t,z,k,d,u
1387,p,9.57,x,,n,t,x,,n,9.78,20.38,s,,n,,u,f,f,,d,a
1388,p,8.89,f,,w,f,x,c,w,9.61,12.18,r,i,w,,,f,f,,h,u
1389,p,2.1,b,g,n,f,,c,n,4.48,2.78,,,n,,,f,f,,g,a
1390,e,1.04,f,g,e,t,a,,w,5.28,1.0,,,n,,,f,f,,d,u
1391,e,2.72,x,s,w,f,d,d,w,3.24,5.41,,,w,,,f,f,,m,a
1392,p,8.78,f,,y,f,x,c,n,7.03,12.94,,,w,,,f,f,,d,a
1393,p,4.98,o,,w,f,f,f,f,5.64,29.02,,g,w,,,t,f,,d,u
1394,e,3.71,b,g,w,f,x,d,w,4.64,3.09,,,y,,,f,f,,g,a
1395,e,12.69,f,,n,f,d,c,w,8.34,23.85,,,w,,,f,f,,d,a
1396,e,12.43,s,,w,t,d,c,w,6.67,24.99,,,w,,,f,f,,d,u
1397,p,4.22,c,e,y,t,x,c,p,4.35,11.35,,,w,,,f,f,,d,a
1398,p,2.28,x,g,n,f,a,,p,6.4,2.67,,,n,,,f,f,,d,a
1399,p,3.84,f,d,n,f,x,c,w,4.54,3.15,b,s,n,,,f,f,,d,u
1400,e,6.74,c,h,n,f,e,,w,12.86,12.49,,s,w,u,w,f,f,,d,a
1401,e,9.46,f,,g,f,s,c,u,6.9,19.35,,,u,,,f,f,,l,a
1402,e,9.54,s,s,u,f,x,,n,6.27,20.19,,,n,,,f,f,,d,u
1403,p,12.44,x,s,y,f,s,,p,7.89,16.69,,i,n,,,f,f,,d,u
1404,p,1.06,x,g,w,f,a,d,w,3.67,1.66,,,n,,,f,f,,d,a
1405,e,4.93,f,t,o,f,a,d,w,6.38,4.04,,s,w,,,f,f,,d,w
1406,p,3.18,f,d,b,f,x,c,w,4.11,2.73,b,s,n,,,f,f,,l,u
1407,e,14.64,x,e,n,t,e,,w,9.61,16.99,,,w,,,t,,,g,a
1408,p,10.82,x,e,n,t,p,,o,8.41,27.27,,,e,,,f,f,,d,a
1409,e,8.22,f,,l,f,s,c,u,8.44,20.81,,,b,,,f,f,,d,a
1410,e,1.43,c,g,n,f,a,,g,4.7,1.47,,,g,,,f,f,,l,u
1411,p,6.83,f,h,r,f,,c,w,10.85,14.46,,,w,u,w,t,p,,d,u
1412,e,7.27,x,,p,f,x,c,w,7.11,18.54,,s,w,,,f,f,,d,a
1413,p,7.28,x,y,y,f,a,c,y,9.04,11.8,,y,y,,,t,,,d,a
1414,e,3.56,x,s,o,f,p,,n,4.25,9.52,,,n,,,f,f,,d,a
1415,p,10.11,x,h,y,f,s,,p,6.99,14.8,,i,n,,,f,f,,d,u
1416,p,5.17,x,,e,f,,c,r,3.81,13.06,,,y,,,f,f,,d,u
1417,e,10.53,f,,n,t,,,w,10.44,18.3,,,w,u,w,t,g,,d,a
1418,e,10.01,f,y,w,f,e,c,w,19.41,13.05,,s,w,,,t,e,,u,s
1419,p,9.1,x,y,w,t,,,p,8.24,17.83,s,,w,,,t,l,,g,a
1420,p,2.43,c,,u,f,a,c,n,3.78,3.57,,i,u,,,f,f,,d,u
1421,e,8.39,x,d,e,t,p,,r,7.11,13.23,,,y,,,f,f,,d,a
1422,p,1.67,x,,n,f,,,k,4.8,2.63,,s,n,,,f,f,k,g,a
1423,p,2.75,x,s,w,f,d,c,w,3.22,7.33,,,w,,,f,f,,g,a
1424,e,4.05,x,d,b,f,d,d,b,5.17,10.51,,,w,,,f,f,,g,a
1425,p,6.46,f,t,y,f,x,c,y,5.24,15.09,,,y,,,f,f,,d,a
1426,p,6.03,f,,g,f,d,c,w,5.7,9.13,b,,n,,,f,f,,d,a
1427,e,12.0,s,,w,t,d,c,p,5.56,26.54,,,w,,,f,f,,d,a
1428,e,55.94,x,y,y,f,p,,y,7.03,46.59,,,n,,,f,f,,d,u
1429,p,5.37,x,h,o,f,a,c,y,6.35,7.76,,g,o,,,f,f,,g,u
1430,e,8.54,x,e,y,f,x,c,w,6.11,17.98,,,w,,,f,f,,d,a
1431,e,9.66,x,y,e,f,,,w,5.73,24.1,b,,n,,w,t,e,,d,w
1432,e,8.33,x,t,n,f,p,d,y,8.1,13.21,,s,n,,,f,f,,h,a
1433,e,5.63,f,h,n,f,a,d,y,4.82,4.83,,s,o,,,f,f,,d,w
1434,p,3.0,x,y,o,f,a,,y,2.64,5.66,,,y,,,f,f,,h,a
1435,e,1.04,x,g,e,t,a,,w,5.95,1.01,,,n,,,f,f,,d,a
1436,e,9.46,x,,n,t,,,w,12.07,18.83,b,,w,u,w,t,g,,d,a
1437,e,5.46,f,s,w,f,e,c,k,22.36,14.33,,s,w,,,t,e,,u,a
1438,e,7.06,s,l,w,f,d,,w,3.37,7.89,,,w,,,f,f,,g,u
1439,p,3.77,f,,u,f,a,,w,4.35,6.92,,,y,,,f,f,,d,a
1440,e,3.44,b,g,n,f,x,d,w,4.6,3.03,,,y,,,f,f,,g,u
1441,p,7.1,x,h,e,f,x,,w,13.81,7.39,r,g,n,,,f,f,,d,u
1442,e,6.68,x,h,y,t,x,c,y,8.88,16.18,,,w,,,f,f,,d,a
1443,e,10.97,p,s,w,f,e,c,k,21.34,13.03,,s,w,,,t,e,,g,s
1444,p,2.79,x,y,o,f,d,,o,3.22,5.72,,,y,,,f,f,,h,a
1445,e,9.82,f,y,y,f,,,w,7.15,26.79,b,,n,,w,t,e,,d,a
1446,p,6.89,x,d,n,f,d,c,y,5.15,7.03,,i,n,,,t,,,d,u
1447,e,12.51,f,y,n,f,,,w,8.47,25.59,b,,n,,w,t,e,,d,a
1448,p,10.16,s,t,r,t,d,c,n,5.75,15.37,,,n,,,f,f,,h,u
1449,p,8.17,b,y,n,f,,,p,14.64,17.2,,,w,,,f,f,,d,a
1450,e,7.71,x,d,y,t,p,,y,8.96,16.03,,,y,,,f,f,,d,a
1451,p,3.8,b,y,n,f,,c,g,5.94,4.21,,s,w,,,f,f,,d,a
1452,e,1.23,x,t,n,f,d,,w,5.87,1.75,,t,y,,,f,f,,d,u
1453,p,5.73,p,t,n,f,,,g,8.64,11.16,,,w,,,t,z,,g,a
1454,p,1.62,x,g,n,f,d,d,n,3.96,2.6,,s,n,,,f,f,,d,a
1455,e,2.86,s,y,n,f,d,d,p,7.15,3.95,,i,n,,,f,f,,l,u
1456,p,1.5,x,,n,f,,,k,5.19,2.48,,s,n,,,f,f,k,g,a
1457,e,2.71,b,y,n,f,,c,n,5.94,3.07,,,w,,,f,f,,d,u
1458,e,4.74,x,s,w,f,d,d,w,3.97,6.92,,,w,,,f,f,,g,a
1459,e,9.74,x,t,n,t,p,,y,8.07,17.63,,,n,,w,t,p,,d,a
1460,p,1.79,b,,n,f,a,,g,4.82,2.0,,s,g,,,f,f,,d,u
1461,e,3.08,x,k,n,f,p,,e,4.46,9.13,,,y,,,f,f,,d,a
1462,e,2.67,x,k,n,f,p,,e,4.09,9.42,,,y,,,f,f,,d,w
1463,p,4.0,f,t,n,f,x,c,p,5.25,4.17,,i,n,,,f,f,,g,u
1464,p,27.65,f,d,e,f,p,,y,5.98,47.69,,,n,,,f,f,,d,w
1465,e,12.02,f,y,n,f,,,w,7.23,28.18,b,,n,,w,t,e,,d,a
1466,e,1.14,p,g,g,f,,,g,3.35,1.66,,,w,,,f,f,,d,u
1467,p,8.07,x,i,n,f,a,c,k,7.19,7.37,,i,n,,k,t,z,k,d,a
1468,e,4.22,x,s,n,f,p,,n,5.16,10.55,,,e,,,f,f,,d,a
1469,p,8.66,f,w,p,f,s,c,p,4.31,9.67,,,p,,,f,f,,d,w
1470,e,9.06,f,d,n,t,d,c,w,6.2,10.19,,,e,,,f,f,,d,a
1471,p,2.81,x,d,w,f,d,d,w,3.95,2.61,,h,w,,,f,f,,g,u
1472,e,8.67,x,l,w,f,d,,p,3.54,8.83,,,w,,,f,f,,g,a
1473,p,7.87,f,,w,f,x,c,w,6.89,10.21,,i,w,,,f,f,,d,u
1474,p,1.36,x,s,y,f,f,f,f,4.46,6.23,,,y,,,f,f,,d,a
1475,e,7.24,x,y,n,f,e,c,p,6.24,11.42,,y,n,,,f,f,,d,u
1476,e,11.98,x,t,n,t,p,,y,8.26,21.79,,,n,,,f,f,,d,a
1477,p,3.83,x,h,n,f,s,,y,6.73,19.85,,i,n,,,f,f,,d,a
1478,p,3.58,x,y,e,f,e,c,w,4.52,3.5,,k,w,,,t,e,,d,u
1479,e,9.04,x,s,k,f,a,c,w,4.68,15.87,,,w,,,f,f,,d,u
1480,e,2.73,s,y,n,f,a,d,p,7.61,3.38,,i,n,,,f,f,,h,a
1481,p,2.82,f,,u,f,a,,w,3.88,5.96,,,y,,,f,f,,d,a
1482,e,9.28,x,i,n,t,e,,p,9.03,18.12,,y,w,,,t,p,,l,a
1483,p,6.22,x,,y,f,s,d,y,5.35,11.34,,i,y,,,f,f,,d,a
1484,e,4.3,x,s,w,f,d,d,w,3.99,6.0,,,w,,,f,f,,m,w
1485,p,8.01,x,s,n,f,s,,n,5.87,8.47,,y,n,,,f,f,,d,a
1486,e,4.19,x,,y,f,a,c,o,3.76,9.54,,,w,,,f,f,,d,u
1487,e,7.08,x,s,u,f,a,c,w,4.38,13.98,,,w,,,f,f,,d,u
1488,p,11.08,x,,g,f,e,,w,10.64,13.05,,,w,u,w,t,e,,d,u
1489,e,7.81,x,t,n,f,p,d,y,8.15,12.78,,s,n,,,f,f,,d,a
1490,p,3.63,b,y,n,f,,c,g,5.05,4.4,s,s,w,,,f,f,,d,u
1491,p,3.24,s,w,n,t,d,c,n,4.15,6.04,,,n,,,f,f,,d,u
1492,e,11.78,s,e,g,f,d,c,w,6.65,22.92,s,,w,,,f,f,,d,a
1493,e,9.45,f,e,b,f,,c,b,4.57,20.09,,,w,,,t,f,,d,u
1494,e,12.91,s,,w,t,d,c,w,7.12,26.97,,,w,,,f,f,,d,a
1495,p,16.88,s,k,n,f,d,c,y,4.87,26.44,,k,n,,,f,f,,d,a
1496,e,3.31,c,,g,f,f,f,f,4.14,17.67,,,n,,,f,f,,d,s
1497,p,7.41,f,t,e,f,x,d,w,5.98,16.86,b,,w,,,f,f,,d,a
1498,p,10.92,s,t,p,t,d,c,p,8.28,13.93,,,p,,,t,f,,d,a
1499,p,3.7,x,,w,f,x,c,p,8.05,4.74,,,n,,,f,f,,d,u
1500,p,3.05,f,d,b,f,x,c,y,3.95,2.71,b,s,n,,,f,f,,l,a
1501,e,3.71,f,t,n,f,d,,o,5.33,6.69,,t,w,,,f,f,,d,a
1502,p,4.51,x,t,y,f,a,c,y,6.53,7.87,,g,o,,,f,f,,g,a
1503,p,5.38,x,,w,f,,c,g,3.48,12.41,,,y,,,f,f,,d,a
1504,p,7.95,f,w,p,f,s,c,p,4.23,9.52,,,p,,,f,f,,d,a
1505,p,5.18,c,k,y,t,x,c,y,7.06,11.97,,,w,,,f,f,,g,a
1506,p,2.31,c,,u,f,a,c,w,3.84,3.56,,i,w,,,f,f,,d,u
1507,e,9.48,f,e,b,f,,c,b,4.91,19.31,,,w,,,t,f,,d,a
1508,p,1.61,b,h,n,f,a,,n,5.03,1.59,,t,n,,,f,f,,h,a
1509,p,21.89,x,d,n,f,p,,y,5.48,37.14,,,n,,,f,f,,d,w
1510,e,5.85,c,h,n,f,e,,w,12.43,12.22,,s,n,u,w,f,f,,d,a
1511,p,4.09,f,,u,f,a,,w,4.36,6.77,,,w,,,f,f,,d,a
1512,p,3.6,b,w,u,f,a,c,g,5.6,5.26,,s,u,,,f,f,,d,a
1513,e,5.32,x,h,n,f,a,d,n,5.3,4.48,,t,w,,,t,l,,d,a
1514,e,7.99,p,y,w,f,e,c,w,12.37,11.37,,s,w,,,t,e,,d,a
1515,e,3.69,f,d,p,t,d,c,p,4.42,6.1,,,g,,,f,f,,d,u
1516,e,6.68,x,s,w,f,e,c,k,5.22,12.65,,,w,,w,t,e,,g,u
1517,p,2.71,s,w,o,t,d,c,n,3.02,6.13,,,n,,,f,f,,d,a
1518,e,4.83,x,,w,f,d,,r,6.54,8.23,,,l,,,f,f,,d,a
1519,p,8.58,x,,n,f,p,,p,10.44,34.35,c,,n,,,f,f,w,d,u
1520,e,3.8,x,,b,f,,d,u,6.07,5.07,,,w,,,f,f,,d,a
1521,p,6.14,c,k,w,t,x,c,p,5.72,11.81,,,w,,,f,f,,g,u
1522,e,5.76,s,l,w,f,d,,w,3.53,9.15,,,w,,,f,f,,g,a
1523,e,7.81,o,,n,f,,,w,4.07,19.28,,,n,,,f,f,,d,u
1524,e,7.16,x,y,n,f,e,c,w,5.53,9.36,,y,n,,,f,f,,d,u
1525,e,11.52,x,,n,t,,,w,11.91,17.41,b,,w,u,w,t,g,,d,u
1526,p,10.23,x,,n,f,p,,p,8.51,26.34,c,,n,,,f,f,w,d,u
1527,p,3.5,x,,n,f,x,c,p,8.1,4.03,,,p,,,f,f,,l,a
1528,e,6.54,f,s,n,f,s,c,w,5.97,9.89,,s,n,,,f,f,,l,w
1529,p,7.55,x,y,w,t,,,p,7.26,14.94,s,,w,,,t,l,,g,a
1530,p,7.5,s,,r,t,d,,o,4.65,12.69,,,w,,,t,f,,d,u
1531,e,5.36,x,s,b,f,x,c,w,6.49,9.41,,s,n,,,f,f,,l,w
1532,e,7.27,f,w,y,f,f,f,f,6.77,14.88,,,y,,,f,f,,d,u
1533,p,5.02,f,t,e,f,x,,w,11.24,6.67,r,g,n,,,f,f,,d,a
1534,p,9.33,s,t,p,t,d,c,p,7.95,14.57,,,p,,,t,f,,d,u
1535,p,9.1,f,,w,f,x,c,w,9.66,11.91,r,i,w,,,f,f,,h,a
1536,p,1.2,s,s,y,f,f,f,f,3.4,5.45,,,y,,,f,f,,d,a
1537,e,3.84,x,t,n,f,a,d,w,5.92,4.27,,s,o,,,f,f,,d,a
1538,p,5.93,f,d,n,f,a,c,y,5.66,6.43,,i,n,,,t,,,d,u
1539,e,7.66,f,h,n,f,s,,y,8.25,12.62,,i,o,,,f,f,,d,u
1540,p,2.94,x,s,y,f,,c,r,8.15,7.66,,,y,u,w,t,z,r,d,u
1541,e,3.37,x,h,e,f,a,c,o,3.82,5.93,,,o,,,f,f,,g,a
1542,e,8.36,x,d,n,t,p,,y,7.54,15.09,,,y,,,f,f,,d,u
1543,e,4.38,x,d,e,f,a,c,o,4.8,7.03,,,e,,,f,f,,m,a
1544,e,5.37,f,s,w,f,e,c,k,20.7,12.66,,s,w,,,t,e,,d,a
1545,e,15.25,s,t,k,f,a,d,k,7.16,23.28,,,w,,,f,f,w,d,a
1546,e,3.44,x,,n,f,x,c,n,7.92,3.93,,,w,,,f,f,,d,u
1547,e,11.45,f,,g,f,d,c,w,2.34,16.54,,,w,,,f,f,,d,a
1548,p,11.05,x,,n,f,p,,p,11.92,35.15,c,,n,,,f,f,p,d,a
1549,p,2.21,f,i,l,f,a,,w,3.63,2.51,,,w,,,f,f,p,g,a
1550,p,2.38,x,s,g,f,d,c,w,2.91,6.76,,,w,,,f,f,,g,u
1551,e,6.4,x,y,n,f,e,c,w,7.91,9.95,,y,n,,,f,f,,d,u
1552,p,3.84,f,,w,f,x,c,p,7.99,3.93,,,p,,,f,f,,l,u
1553,p,13.76,x,e,n,t,p,,o,8.8,31.95,c,,y,,,f,f,,d,u
1554,e,10.28,s,t,w,t,d,c,o,6.46,17.97,,,w,,,f,f,,d,a
1555,p,4.33,b,t,n,f,x,c,p,5.85,3.21,,i,n,,,f,f,,m,u
1556,e,3.34,s,d,n,t,d,c,p,4.41,6.16,,,g,,,f,f,,d,u
1557,p,5.54,f,k,n,f,p,,n,3.92,6.26,,k,n,,,t,f,,d,u
1558,p,2.05,x,i,l,f,a,,p,3.73,2.56,,,w,,,f,f,p,g,u
1559,e,8.01,s,l,w,f,d,,p,3.52,8.69,,,w,,,f,f,,d,u
1560,p,7.03,f,t,n,t,d,c,n,5.93,11.15,,,n,,,f,f,,d,u
1561,p,2.12,x,i,k,f,a,,w,4.27,2.49,,,w,,,f,f,p,g,a
1562,p,2.41,x,g,n,f,a,,p,7.06,2.39,,,w,,,f,f,,d,u
1563,e,6.09,f,s,b,f,x,c,w,7.1,10.29,,s,n,,,f,f,,l,w
1564,p,4.41,b,t,n,f,x,c,p,6.21,4.58,,i,g,,,f,f,,m,a
1565,e,4.22,f,t,n,f,d,,o,6.1,8.37,,t,w,,,f,f,,d,w
1566,p,1.7,b,,g,f,a,,g,5.29,2.79,,s,n,,,f,f,,d,a
1567,p,2.4,x,g,e,f,a,,w,6.0,2.29,,,n,,,f,f,,d,u
1568,p,7.43,b,t,w,f,e,c,w,12.92,12.83,,y,w,u,w,t,l,,d,a
1569,p,1.32,b,t,n,f,,c,n,3.04,2.4,,,n,,,t,f,,g,u
1570,p,0.51,x,,o,f,d,,o,4.57,0.95,,,o,,,f,f,w,g,u
1571,p,13.79,x,t,n,t,d,c,w,4.95,24.36,,,n,,,f,f,,d,a
1572,e,5.72,b,h,k,f,s,d,g,4.48,8.07,,s,g,,,f,f,,d,a
1573,p,1.52,b,h,n,f,a,,n,4.91,1.46,,t,n,,,f,f,,h,u
1574,p,6.27,x,,e,f,,c,g,3.6,12.61,,,y,,,f,f,,d,a
1575,p,7.5,s,d,e,t,d,c,y,7.18,8.81,,,n,,,f,f,,d,a
1576,p,6.52,x,t,y,f,x,c,y,5.87,17.11,,,y,,,f,f,,d,a
1577,p,4.34,x,t,n,f,a,c,n,6.04,9.05,,y,o,,,t,z,,d,a
1578,e,5.2,x,h,n,f,p,d,y,8.12,12.08,,s,n,,,f,f,,d,u
1579,e,7.05,f,s,n,f,s,c,w,5.73,9.32,b,i,n,,,f,f,,l,w
1580,p,7.7,x,y,y,f,a,c,y,11.22,10.22,,y,y,,,t,,,d,a
1581,p,1.52,b,t,n,f,,c,g,4.75,2.09,,,n,,,t,f,,g,a
1582,p,6.38,x,s,n,f,x,,w,14.74,7.28,r,g,n,,,f,f,,d,a
1583,e,8.46,f,e,b,f,,c,b,4.56,18.27,,,w,,,t,f,,d,a
1584,e,3.75,x,s,w,f,d,d,w,3.51,6.59,,,w,,,f,f,,m,a
1585,p,10.16,s,,y,t,d,,o,6.39,13.27,,,w,,,t,f,,d,u
1586,e,5.29,x,y,n,f,e,c,w,4.69,8.85,,y,n,,,f,f,,y,a
1587,e,15.92,x,e,n,t,e,,w,10.21,17.29,,,w,,,t,,,g,a
1588,p,5.82,x,,y,f,s,d,y,4.76,11.51,,i,y,,,f,f,,d,a
1589,p,3.12,s,w,o,t,d,c,n,3.86,5.96,,,n,,,f,f,,d,u
1590,p,4.52,x,t,o,f,a,c,y,6.19,8.67,,g,o,,,f,f,,g,a
1591,e,5.7,p,s,w,f,e,c,p,4.61,12.83,,s,w,,,t,e,,g,a
1592,p,6.92,b,t,w,f,e,c,w,11.93,12.12,,y,w,u,w,t,e,,d,a
1593,p,6.63,s,d,n,t,d,c,w,5.54,7.08,,,e,,,f,f,,d,u
1594,p,1.88,p,t,n,f,a,c,g,8.55,2.61,,t,y,,,t,e,,m,a
1595,e,11.0,s,t,p,t,d,c,o,6.19,19.45,,,w,,,f,f,,d,a
1596,e,6.5,x,,g,t,p,,g,11.05,23.7,,y,w,,,f,f,,d,u
1597,p,10.35,x,y,w,t,,,g,10.17,18.44,s,,w,,,t,l,,g,a
1598,p,2.99,b,d,r,f,a,,y,5.07,6.37,,t,y,,,f,f,,g,u
1599,p,1.0,b,t,y,f,,c,g,3.6,2.51,,,n,,,t,f,,g,a
1600,p,8.84,x,y,w,t,,,n,8.41,13.98,s,,w,,,t,l,,g,u
1601,p,3.54,x,t,n,f,s,c,n,5.17,8.97,,,w,,n,t,z,,d,u
1602,p,7.17,c,e,w,t,x,c,r,5.78,11.94,,,w,,,f,f,,d,s
1603,p,6.28,p,s,n,f,,,w,7.96,11.82,,s,w,,,t,l,,g,u
1604,e,7.84,f,h,n,f,s,,n,8.12,11.12,,i,n,,,f,f,,d,a
1605,e,9.58,f,s,r,f,x,,n,5.69,21.22,,,w,,,f,f,,d,w
1606,e,5.35,x,y,w,f,e,c,n,4.84,12.51,,,w,,w,t,e,,g,u
1607,e,11.19,f,,n,t,,,w,10.25,13.95,b,,w,u,w,t,g,,d,u
1608,p,4.75,x,s,o,f,a,c,y,6.18,8.04,,g,o,,,f,f,,g,a
1609,p,3.49,x,s,y,f,f,f,f,3.91,6.09,,,y,,,f,f,,d,w
1610,e,3.91,f,g,n,f,a,d,g,4.09,3.46,,s,n,,,f,f,,d,a
1611,e,7.53,f,s,u,f,a,c,w,4.55,13.03,,,w,,,f,f,,d,u
